"name","external_id","coeff","parent","color","emoji"
"Transports",165,0.40616,,"#CC2551","🚘"
"Assurance véhicule",247,0.11,"Transports","#8c0000","🛡"
"Déplacement Avion",198,1.19,"Transports","#cc3b3b","🛩"
"Déplacement Train",197,0.0626,"Transports","#9c0c0c","🚂"
"Carburant",87,1.186,"Transports","#d64949","⛽"
"Entretien véhicule",288,0.39,"Transports","#a81818","🔨"
"Location de véhicule",264,0.17,"Transports","#e35959","🚘"
"Péage",309,0.19571,"Transports","#b52424","🛣"
"Stationnement",251,0.19571,"Transports","#ed6868","🅿"
"Transports en commun",196,0.1186,"Transports","#c23030","🚎"
"Transports - Autres",84,0.17,"Transports","#ff8282","🚐"
"Logement",161,0.5242457823,,"#FF6584","🏠"
"Assurance habitation",246,0.11,"Logement","#ff2e57","🛡"
"Mobilier & Décoration",221,0.5,"Logement","#ff0033","🛋"
"Eau",293,0.0154,"Logement","#ff7892","🚰"
"Énergie",217,0.4762,"Logement","#ff4a6d","⚡"
"Entretien",222,0.39,"Logement","#ff0f3f","🧹"
"Extérieur et jardin",323,0.17,"Logement","#ff6986","🏡"
"Loyer",216,0,"Logement","#ff3b61","🏠"
"Logement - Autres",220,0.17,"Logement","#ff1f4b","🏘"
"Loisirs & Services",171,0.17697,,"#8E67F6","💈"
"Biens",162,0.32218,,"#FFC443","🛍"
"Divers",160,0,,,
"Forfait Internet/Fixe",180,0,"Loisirs & Services","#431cad","☎"
"Forfait Mobile",277,0.17,"Loisirs & Services","#866bd1","📱"
"Autres abonnements",280,0.17697,"Loisirs & Services","#4f2ab5","📱"
"Câble / Satellite",219,0.17697,"Loisirs & Services","#967ddb","📺"
"Livres",243,0.28,"Biens","#fcad00","📚"
"Vêtements & Chaussures",272,0.5,"Biens","#fcc751","👖"
"Informatique & High Tech",184,0.3,"Biens","#fab00f","💻"
"Articles de sport",262,0.5,"Biens","#fccc60","🏈"
"Bureau de tabac",308,0.04627,"Biens","#fcb823","🚬"
"Esthétique & Soins",315,0.21,"Loisirs & Services","#5d3abd","💅"
"Coiffeur",235,0.21,"Loisirs & Services","#a58fe3","💇🏽‍♀"
"Cosmétiques",248,0.5,"Biens","#fcd16f","💄"
"Spa & Massage",316,0.27,"Loisirs & Services","#6a4ac2 ","🧖‍♀"
"Frais Animaux",224,0.06334,"Biens","#fcbd32","🐶"
"Divertissements",269,0.27,"Loisirs & Services","#b5a1ed","🎭"
"Hôtels",263,0.32,"Logement","#fc5878","🛎"
"Hobbies & autres activités",226,0.17697,"Loisirs & Services","#785bc9","🎨"
"Sorties culturelles",244,0.21,"Loisirs & Services","#c8b7f7","🎭"
"Activités sportives",242,0.17697,"Loisirs & Services","#866bd1","🏄‍♀"
"Vacances",249,0.33,"Loisirs & Services","#431cad","🌴"
"Remboursement emprunt",89,0,"Divers",,
"Services Bancaires",306,0.11,"Loisirs & Services","#967ddb","🏦"
"Assurance",278,0,"Divers",,
"Débit mensuel carte",191,0,"Divers",,
"Epargne",192,0,"Divers",,
"Hypothèque",194,0,"Divers",,
"Biens - Autres",186,0.17697,"Biens","#fcd67e","🛍"
"Cadeaux / Jeux / Jouets",183,0.32218,"Biens","#fcc242","🎁"
"Films & DVDs",319,0.32218,"Biens","#fad98c","🎬"
"Pressing",324,0.17697,"Loisirs & Services","#4f2ab5","🧼"
"Loisirs & Services - Autres",223,0.21,"Loisirs & Services","#a58fe3","💈"
"Alimentation",168,0.138,,"#20B2AA","🍽"
"Café & Coffee Shop",313,0.06334,"Alimentation","#017a74","☕"
"Fast foods",260,0.31857,"Alimentation","#49bab5","🥙"
"Restaurants",83,0.1394,"Alimentation","#0e8781","🍕"
"Supermarché / Epicerie",273,0.08621,"Alimentation","#5bc7c2","🛒"
"Bars / Clubs",227,0.0811,"Alimentation","#1c918c","🍸"
"Alimentation - Autres",188,0.138,"Alimentation","#6bd6d1","🥖"
"Impôts & Taxes",159,0,"Divers",,
"Santé",163,0,"Divers",,
"Santé / Médecine",325,0.0568,"Loisirs & Services","#5d3abd","👩‍⚕"
"Pharmacie",236,0.5,"Biens","#fcad00","💊"
"Mutuelle",245,0.11,"Loisirs & Services","#b5a1ed","🛡"
"Scolarité / Crèches",267,0.17697,"Loisirs & Services","#6a4ac2","🎓"
"Santé - Autres",268,0.17697,"Loisirs & Services","#c8b7f7","🏥"
"Dépenses pro",166,0,"Divers",,
"A catégoriser",1,0,,,"❔"
"À ignorer",303,0,,,
"Autres dépenses",276,0,"À ignorer",,"🙈"
"Taxi / VTC",,0.059,"Transports","#8c0000","🚕"
"Co-voiturage",,0.707,"Transports","#cc3b3b","👥"
"Vélos électriques",,0.01,"Transports","#9c0c0c","🚴‍♀"
