bankAccountId,date,transactionId,value,category,title,type,paymentMethod,mccCode
566bf82b-d68c-4c92-b844-a161a9587b19,2019-09-08,80c39d7e-3d82-4ac5-a0c1-2394c5243c0f,20,CASH,*BNP,payout,CARD,6011
566bf82b-d68c-4c92-b844-a161a9587b19,2019-09-04,3f95bbd8-9be8-47f0-b97b-e855c7838c20,400,CASH,*BNP,payout,CARD,6011
566bf82b-d68c-4c92-b844-a161a9587b19,2019-08-13,0111d915-0fdb-47e5-b6ab-1244ed9510e0,10,CASH,*BNP,payout,CARD,6011
566bf82b-d68c-4c92-b844-a161a9587b19,2019-07-19,5546c9a4-1cc3-438c-9f69-cb2e2efcdbb2,20,CASH,*BNP,payout,CARD,6011
566bf82b-d68c-4c92-b844-a161a9587b19,2019-07-11,ec47b842-c27d-4eb3-837c-b72436d2a69d,400,CASH,*BNP,payout,CARD,6011
566bf82b-d68c-4c92-b844-a161a9587b19,2019-07-10,b6d107ca-6132-461e-84d6-49e22224e8f3,100,CASH,*BNP,payout,CARD,6011
566bf82b-d68c-4c92-b844-a161a9587b19,2019-07-10,3f44872a-decf-4fe4-a6e6-613c67c1eca5,300,CASH,*BNP,payout,CARD,6011
566bf82b-d68c-4c92-b844-a161a9587b19,2019-04-16,940de0c1-5539-4278-bbe2-434f584ff96c,250,CASH,*BNP,payout,CARD,6011
566bf82b-d68c-4c92-b844-a161a9587b19,2019-04-11,28bad67e-f051-4b1b-8563-63c6a0fdb507,50,CASH,*BNP,payout,CARD,6011
566bf82b-d68c-4c92-b844-a161a9587b19,2019-02-25,fe7986fe-dd69-4122-942e-ceedb7e08a50,20,CASH,*BNP,payout,CARD,6011
6dac3bd7-ec4e-4389-a5af-83e43c1a1a61,2020-09-14,1cb7307c-8cb6-4f92-b291-9c1dd9a6159e,400,CASH,*BNP,payout,CARD,6011
6dac3bd7-ec4e-4389-a5af-83e43c1a1a61,2020-08-24,5521e500-e811-4177-8ada-141fd5ee4858,400,CASH,*BNP,payout,CARD,6011
6dac3bd7-ec4e-4389-a5af-83e43c1a1a61,2020-08-07,65590ebf-72cf-408a-b820-f6655d225e2a,400,CASH,*BNP,payout,CARD,6011
6dac3bd7-ec4e-4389-a5af-83e43c1a1a61,2020-08-04,43bcccaf-7e07-4c5b-8bf2-ddb5361a469f,400,CASH,*BNP,payout,CARD,6011
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2020-02-13,d0325406-8f87-48be-be67-8115eb8528aa,400,CASH,*BNP,payout,CARD,6011
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2019-08-10,c6ab6df5-d997-4678-8775-9679ec64b70d,20,CASH,*BNP,payout,CARD,6011
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2019-06-28,4177dcf6-4ed8-4ba3-baf5-323bc1d5476e,250,CASH,*BNP,payout,CARD,6011
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2019-05-11,5cf51afd-3942-4a6a-9db3-9ad4193d2386,100,CASH,*BNP,payout,CARD,6011
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2019-03-23,cb7fa407-80d9-4065-94b1-509251ec7a45,100,CASH,*BNP,payout,CARD,6011
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2019-03-08,f5460c9f-3d4b-4228-b303-6130c953d86b,50,CASH,*BNP,payout,CARD,6011
b9920e3b-68ed-4ccc-987f-a5196f94df7a,2019-11-26,64528472-5113-4e20-8d60-8bde3d910d37,30,CASH,*BNP,payout,CARD,6011
b9920e3b-68ed-4ccc-987f-a5196f94df7a,2019-06-28,23b9e4ce-72db-4b16-8c23-188f5c898227,80,CASH,*BNP,payout,CARD,6011
b9920e3b-68ed-4ccc-987f-a5196f94df7a,2019-06-26,414cc20d-f6b8-4e6c-bac8-84ffa7b0696a,20,CASH,*BNP,payout,CARD,6011
cd94d53c-7d8e-4e2c-b134-f2ad16db2d4e,2019-07-26,2f4bbd6d-f28d-46ac-911c-ace1574077f9,20,CASH,*BNP,payout,CARD,6011
cd94d53c-7d8e-4e2c-b134-f2ad16db2d4e,2018-11-14,cafbe0fb-bced-4878-80a5-a8066e0e0871,20,CASH,*BNP,payout,CARD,6011
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2019-11-15,a3778ae6-9f84-4e30-a403-41e47282116b,187.92,CASH,01600689,payout,CARD,6011
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2019-11-15,a0a51297-00e5-4959-89fd-789c675f746b,187.92,CASH,01600689,payout,CARD,6011
566bf82b-d68c-4c92-b844-a161a9587b19,2019-06-30,514bd9b9-390a-45ad-9de2-1af015ca6b59,0.8,TRANSPORTATION,2theloo Gare Montparna,payout,CARD,4789
cd94d53c-7d8e-4e2c-b134-f2ad16db2d4e,2019-02-16,c580c02e-2ccd-4b57-b0d1-e2d46696f523,21.97,MISC,48006 NEW YORKER Franc,payout,CARD,5651
cd94d53c-7d8e-4e2c-b134-f2ad16db2d4e,2019-08-27,16374b1a-ac98-47d6-b317-a1a6f7fec71f,9.99,MISC,48059 NEW YORKER Franc,payout,CARD,5651
566bf82b-d68c-4c92-b844-a161a9587b19,2019-05-25,7d6a59b8-b11f-46d6-b30b-d677c35e560f,9.07,FOOD,8 A HUIT JM DISTRIB,payout,CARD,5411
566bf82b-d68c-4c92-b844-a161a9587b19,2019-05-21,3e123c9f-6f2c-4768-b60e-a70bbe98dd2f,2.4,MISC,93PARK29GRESILL,payout,CARD,9405
cd94d53c-7d8e-4e2c-b134-f2ad16db2d4e,2019-02-14,dd60a6db-2fa3-4f62-8771-7e4bafde861a,41.28,MISC,9NEUF45,payout,CARD,5651
cd94d53c-7d8e-4e2c-b134-f2ad16db2d4e,2019-01-19,b1d0cc91-be4f-490a-b74e-e32baf6726f8,12.53,MISC,9NEUF45,payout,CARD,5651
cd94d53c-7d8e-4e2c-b134-f2ad16db2d4e,2018-10-11,951f5b73-d3ea-4f96-84ca-34c83412d59d,5.9,MISC,9NEUF45,payout,CARD,5651
cd94d53c-7d8e-4e2c-b134-f2ad16db2d4e,2018-10-08,96bcfcf4-feaf-4aba-a57c-6c1a1744387c,32.1,MISC,9NEUF45,payout,CARD,5651
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2020-06-12,fd6c85fe-71b3-44ae-80b9-f1bf5cef21a7,31.52,FOOD,A2PAS,payout,CARD,5411
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2020-05-30,12e50f92-7858-4c8a-9d37-c3316b3cff13,34.65,FOOD,A2PAS,payout,CARD,5411
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2020-05-30,a1be879d-414b-45e9-8b22-356a5996c809,11.16,FOOD,A2PAS,payout,CARD,5411
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2020-05-29,78b35db6-bea7-44ea-9a9f-d476a252080d,53.02,FOOD,A2PAS,payout,CARD,5411
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2020-05-23,d1defc23-634e-4985-bb92-9da2339ede8c,11.99,FOOD,A2PAS,payout,CARD,5411
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2020-05-23,1b15c903-3d84-47a0-a128-ebb3192aadd2,19.13,FOOD,A2PAS,payout,CARD,5411
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2020-05-22,ca4ea5e0-87da-4a53-a1c8-41b3e11fb8d7,24.23,FOOD,A2PAS,payout,CARD,5411
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2020-05-20,4b45b1ab-09df-4800-a79a-a5d7512d500e,19.07,FOOD,A2PAS,payout,CARD,5411
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2020-05-16,71be8f93-0285-4ff2-86cf-4a2125ba1bed,45.5,FOOD,A2PAS,payout,CARD,5411
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2020-05-15,c17e82c7-438a-4b65-a845-bc9c4e707e9e,37.64,FOOD,A2PAS,payout,CARD,5411
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2020-05-10,34a0fa7d-1d4d-4a34-9e98-12e5f9b327d7,10.29,FOOD,A2PAS,payout,CARD,5411
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2020-05-08,866b283d-92fd-4544-b645-bc93bc4ab10d,34.78,FOOD,A2PAS,payout,CARD,5411
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2020-05-07,aad687c3-f9e1-4fdb-acba-ca0bc65e3657,34.21,FOOD,A2PAS,payout,CARD,5411
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2020-05-06,a953d02a-edd8-477e-9ea1-ec757198fb37,14.04,FOOD,A2PAS,payout,CARD,5411
910e27d1-b80f-41b5-b7f2-a15f70a32fe0,2020-05-02,80c7b708-708f-4218-938c-19002f11e680,22.82,FOOD,A2PAS,payout,CARD,5411
